TargetID,和名,グループ,水域,主環境,候補釣法,ContentPriority,TypicalSize,TrophyThreshold,Season,TimeOfDay,Depth,DataStatus,SourceURL,Notes
target-001,マアジ,沿岸小型魚,海水,港湾/沿岸/堤防,ライトルアー|サビキ|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-002,マルアジ,沿岸小型魚,海水,港湾/沿岸/堤防,ライトルアー|サビキ|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-003,ムロアジ,沿岸小型魚,海水,港湾/沿岸/堤防,ライトルアー|サビキ|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-004,メアジ,沿岸小型魚,海水,港湾/沿岸/堤防,ライトルアー|サビキ|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-005,オアカムロ,沿岸小型魚,海水,港湾/沿岸/堤防,ライトルアー|サビキ|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-006,マサバ,沿岸小型魚,海水,港湾/沿岸/堤防,ライトルアー|サビキ|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-007,ゴマサバ,沿岸小型魚,海水,港湾/沿岸/堤防,ライトルアー|サビキ|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-008,マイワシ,沿岸小型魚,海水,港湾/沿岸/堤防,ライトルアー|サビキ|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-009,ウルメイワシ,沿岸小型魚,海水,港湾/沿岸/堤防,ライトルアー|サビキ|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-010,カタクチイワシ,沿岸小型魚,海水,港湾/沿岸/堤防,ライトルアー|サビキ|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-011,キビナゴ,沿岸小型魚,海水,港湾/沿岸/堤防,ライトルアー|サビキ|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-012,サッパ,沿岸小型魚,海水,港湾/沿岸/堤防,ライトルアー|サビキ|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-013,コノシロ,沿岸小型魚,海水,港湾/沿岸/堤防,ライトルアー|サビキ|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-014,サヨリ,沿岸小型魚,海水,港湾/沿岸/堤防,ライトルアー|サビキ|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-015,トウゴロウイワシ,沿岸小型魚,海水,港湾/沿岸/堤防,ライトルアー|サビキ|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-016,ネンブツダイ,沿岸小型魚,海水,港湾/沿岸/堤防,ライトルアー|サビキ|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-017,クロホシイシモチ,沿岸小型魚,海水,港湾/沿岸/堤防,ライトルアー|サビキ|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-018,スズメダイ,沿岸小型魚,海水,港湾/沿岸/堤防,ライトルアー|サビキ|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-019,タカベ,沿岸小型魚,海水,港湾/沿岸/堤防,ライトルアー|サビキ|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-020,イサキ,沿岸小型魚,海水,港湾/沿岸/堤防,ライトルアー|サビキ|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-021,シマアジ,沿岸小型魚,海水,港湾/沿岸/堤防,ライトルアー|サビキ|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-022,メッキ（ギンガメアジ幼魚）,沿岸小型魚,海水,港湾/沿岸/堤防,ライトルアー|サビキ|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-023,カスミアジ,沿岸小型魚,海水,港湾/沿岸/堤防,ライトルアー|サビキ|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-024,ロウニンアジ,沿岸小型魚,海水,港湾/沿岸/堤防,ライトルアー|サビキ|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
