GearID,Brand,Series,HookType,Size,StrengthKg,GaugeMm,Penetration,HoldingPower,PriceJPY,Status
hook-0001,Owner's Edge,Single Series,Single,#14,1.5,0.38,83,58,380,FICTIONAL_CONTENT
hook-0002,Owner's Edge,Single Series,Single,#12,3.3,0.43,82,60,420,FICTIONAL_CONTENT
hook-0003,Owner's Edge,Single Series,Single,#10,5.1,0.49,81,62,460,FICTIONAL_CONTENT
hook-0004,Owner's Edge,Single Series,Single,#8,6.9,0.55,79,64,510,FICTIONAL_CONTENT
hook-0005,Owner's Edge,Single Series,Single,#6,8.7,0.6,78,66,550,FICTIONAL_CONTENT
hook-0006,Owner's Edge,Single Series,Single,#4,10.5,0.66,77,68,590,FICTIONAL_CONTENT
hook-0007,Owner's Edge,Single Series,Single,#2,12.3,0.71,76,69,630,FICTIONAL_CONTENT
hook-0008,Owner's Edge,Single Series,Single,#1,14.1,0.77,75,71,670,FICTIONAL_CONTENT
hook-0009,Owner's Edge,Single Series,Single,1/0,15.9,0.82,73,73,720,FICTIONAL_CONTENT
hook-0010,Owner's Edge,Single Series,Single,2/0,17.7,0.88,72,75,760,FICTIONAL_CONTENT
hook-0011,Owner's Edge,Single Series,Single,3/0,19.5,0.93,71,77,800,FICTIONAL_CONTENT
hook-0012,Owner's Edge,Single Series,Single,4/0,21.3,0.98,70,79,840,FICTIONAL_CONTENT
hook-0013,Owner's Edge,Single Series,Single,5/0,23.1,1.04,69,81,880,FICTIONAL_CONTENT
hook-0014,Owner's Edge,Single Series,Single,7/0,24.9,1.09,67,83,930,FICTIONAL_CONTENT
hook-0015,Owner's Edge,Single Series,Single,9/0,26.7,1.15,66,85,970,FICTIONAL_CONTENT
hook-0016,Owner's Edge,Single Series,Single,11/0,28.5,1.21,65,87,1010,FICTIONAL_CONTENT
hook-0017,Owner's Edge,Treble Series,Treble,#14,1.5,0.38,83,68,380,FICTIONAL_CONTENT
hook-0018,Owner's Edge,Treble Series,Treble,#12,3.3,0.43,82,70,420,FICTIONAL_CONTENT
hook-0019,Owner's Edge,Treble Series,Treble,#10,5.1,0.49,81,72,460,FICTIONAL_CONTENT
hook-0020,Owner's Edge,Treble Series,Treble,#8,6.9,0.55,79,74,510,FICTIONAL_CONTENT
hook-0021,Owner's Edge,Treble Series,Treble,#6,8.7,0.6,78,76,550,FICTIONAL_CONTENT
hook-0022,Owner's Edge,Treble Series,Treble,#4,10.5,0.66,77,78,590,FICTIONAL_CONTENT
hook-0023,Owner's Edge,Treble Series,Treble,#2,12.3,0.71,76,79,630,FICTIONAL_CONTENT
hook-0024,Owner's Edge,Treble Series,Treble,#1,14.1,0.77,75,81,670,FICTIONAL_CONTENT
hook-0025,Owner's Edge,Treble Series,Treble,1/0,15.9,0.82,73,83,720,FICTIONAL_CONTENT
hook-0026,Owner's Edge,Treble Series,Treble,2/0,17.7,0.88,72,85,760,FICTIONAL_CONTENT
hook-0027,Owner's Edge,Treble Series,Treble,3/0,19.5,0.93,71,87,800,FICTIONAL_CONTENT
hook-0028,Owner's Edge,Treble Series,Treble,4/0,21.3,0.98,70,89,840,FICTIONAL_CONTENT
hook-0029,Owner's Edge,Treble Series,Treble,5/0,23.1,1.04,69,91,880,FICTIONAL_CONTENT
hook-0030,Owner's Edge,Treble Series,Treble,7/0,24.9,1.09,67,93,930,FICTIONAL_CONTENT
hook-0031,Owner's Edge,Treble Series,Treble,9/0,26.7,1.15,66,95,970,FICTIONAL_CONTENT
hook-0032,Owner's Edge,Treble Series,Treble,11/0,28.5,1.21,65,97,1010,FICTIONAL_CONTENT
hook-0033,Gamakaze,Offset Series,Offset,#14,1.5,0.38,80,58,380,FICTIONAL_CONTENT
hook-0034,Gamakaze,Offset Series,Offset,#12,3.3,0.43,79,60,420,FICTIONAL_CONTENT
hook-0035,Gamakaze,Offset Series,Offset,#10,5.1,0.49,78,62,460,FICTIONAL_CONTENT
hook-0036,Gamakaze,Offset Series,Offset,#8,6.9,0.55,76,64,510,FICTIONAL_CONTENT
hook-0037,Gamakaze,Offset Series,Offset,#6,8.7,0.6,75,66,550,FICTIONAL_CONTENT
hook-0038,Gamakaze,Offset Series,Offset,#4,10.5,0.66,74,68,590,FICTIONAL_CONTENT
hook-0039,Gamakaze,Offset Series,Offset,#2,12.3,0.71,73,69,630,FICTIONAL_CONTENT
hook-0040,Gamakaze,Offset Series,Offset,#1,14.1,0.77,72,71,670,FICTIONAL_CONTENT
hook-0041,Gamakaze,Offset Series,Offset,1/0,15.9,0.82,70,73,720,FICTIONAL_CONTENT
hook-0042,Gamakaze,Offset Series,Offset,2/0,17.7,0.88,69,75,760,FICTIONAL_CONTENT
hook-0043,Gamakaze,Offset Series,Offset,3/0,19.5,0.93,68,77,800,FICTIONAL_CONTENT
hook-0044,Gamakaze,Offset Series,Offset,4/0,21.3,0.98,67,79,840,FICTIONAL_CONTENT
hook-0045,Gamakaze,Offset Series,Offset,5/0,23.1,1.04,66,81,880,FICTIONAL_CONTENT
hook-0046,Gamakaze,Offset Series,Offset,7/0,24.9,1.09,64,83,930,FICTIONAL_CONTENT
hook-0047,Gamakaze,Offset Series,Offset,9/0,26.7,1.15,63,85,970,FICTIONAL_CONTENT
hook-0048,Gamakaze,Offset Series,Offset,11/0,28.5,1.21,62,87,1010,FICTIONAL_CONTENT
hook-0049,Gamakaze,Circle Series,Circle,#14,5.5,0.38,80,68,380,FICTIONAL_CONTENT
hook-0050,Gamakaze,Circle Series,Circle,#12,7.3,0.43,79,70,420,FICTIONAL_CONTENT
hook-0051,Gamakaze,Circle Series,Circle,#10,9.1,0.49,78,72,460,FICTIONAL_CONTENT
hook-0052,Gamakaze,Circle Series,Circle,#8,10.9,0.55,76,74,510,FICTIONAL_CONTENT
hook-0053,Gamakaze,Circle Series,Circle,#6,12.7,0.6,75,76,550,FICTIONAL_CONTENT
hook-0054,Gamakaze,Circle Series,Circle,#4,14.5,0.66,74,78,590,FICTIONAL_CONTENT
hook-0055,Gamakaze,Circle Series,Circle,#2,16.3,0.71,73,79,630,FICTIONAL_CONTENT
hook-0056,Gamakaze,Circle Series,Circle,#1,18.1,0.77,72,81,670,FICTIONAL_CONTENT
hook-0057,Gamakaze,Circle Series,Circle,1/0,19.9,0.82,70,83,720,FICTIONAL_CONTENT
hook-0058,Gamakaze,Circle Series,Circle,2/0,21.7,0.88,69,85,760,FICTIONAL_CONTENT
hook-0059,Gamakaze,Circle Series,Circle,3/0,23.5,0.93,68,87,800,FICTIONAL_CONTENT
hook-0060,Gamakaze,Circle Series,Circle,4/0,25.3,0.98,67,89,840,FICTIONAL_CONTENT
hook-0061,Gamakaze,Circle Series,Circle,5/0,27.1,1.04,66,91,880,FICTIONAL_CONTENT
hook-0062,Gamakaze,Circle Series,Circle,7/0,28.9,1.09,64,93,930,FICTIONAL_CONTENT
hook-0063,Gamakaze,Circle Series,Circle,9/0,30.7,1.15,63,95,970,FICTIONAL_CONTENT
hook-0064,Gamakaze,Circle Series,Circle,11/0,32.5,1.21,62,97,1010,FICTIONAL_CONTENT
hook-0065,Blue Horizon,Assist Series,Assist,#14,5.5,0.46,78,68,780,FICTIONAL_CONTENT
hook-0066,Blue Horizon,Assist Series,Assist,#12,7.3,0.52,77,70,820,FICTIONAL_CONTENT
hook-0067,Blue Horizon,Assist Series,Assist,#10,9.1,0.57,76,72,860,FICTIONAL_CONTENT
hook-0068,Blue Horizon,Assist Series,Assist,#8,10.9,0.63,74,74,910,FICTIONAL_CONTENT
hook-0069,Blue Horizon,Assist Series,Assist,#6,12.7,0.68,73,76,950,FICTIONAL_CONTENT
hook-0070,Blue Horizon,Assist Series,Assist,#4,14.5,0.73,72,78,990,FICTIONAL_CONTENT
hook-0071,Blue Horizon,Assist Series,Assist,#2,16.3,0.79,71,79,1030,FICTIONAL_CONTENT
hook-0072,Blue Horizon,Assist Series,Assist,#1,18.1,0.84,70,81,1070,FICTIONAL_CONTENT
