GearID,Brand,Series,LineType,StrengthKg,DiameterMm,Stretch,AbrasionResistance,Visibility,Sensitivity,PriceJPY,Status
line-0001,Major Crest,BASIC NYLON,Nylon,2,0.156,0.82,0.62,0.55,0.7,1100,FICTIONAL_CONTENT
line-0002,Major Crest,BASIC NYLON,Nylon,3,0.191,0.82,0.62,0.55,0.7,1200,FICTIONAL_CONTENT
line-0003,Major Crest,BASIC NYLON,Nylon,4,0.22,0.82,0.62,0.55,0.7,1400,FICTIONAL_CONTENT
line-0004,Major Crest,BASIC NYLON,Nylon,5,0.246,0.82,0.62,0.55,0.7,1500,FICTIONAL_CONTENT
line-0005,Major Crest,BASIC NYLON,Nylon,6,0.269,0.82,0.62,0.55,0.7,1600,FICTIONAL_CONTENT
line-0006,Major Crest,BASIC NYLON,Nylon,8,0.311,0.82,0.62,0.55,0.7,1800,FICTIONAL_CONTENT
line-0007,Major Crest,BASIC NYLON,Nylon,10,0.348,0.82,0.62,0.55,0.7,2100,FICTIONAL_CONTENT
line-0008,Major Crest,BASIC NYLON,Nylon,12,0.381,0.82,0.62,0.55,0.7,2300,FICTIONAL_CONTENT
line-0009,Major Crest,BASIC NYLON,Nylon,15,0.426,0.82,0.62,0.55,0.7,2600,FICTIONAL_CONTENT
line-0010,Major Crest,BASIC NYLON,Nylon,20,0.492,0.82,0.62,0.55,0.7,3200,FICTIONAL_CONTENT
line-0011,Shimara,SUPPLE NYLON,Nylon,2,0.148,0.86,0.68,0.5,0.74,1100,FICTIONAL_CONTENT
line-0012,Shimara,SUPPLE NYLON,Nylon,3,0.182,0.86,0.68,0.5,0.74,1200,FICTIONAL_CONTENT
line-0013,Shimara,SUPPLE NYLON,Nylon,4,0.21,0.86,0.68,0.5,0.74,1400,FICTIONAL_CONTENT
line-0014,Shimara,SUPPLE NYLON,Nylon,5,0.235,0.86,0.68,0.5,0.74,1500,FICTIONAL_CONTENT
line-0015,Shimara,SUPPLE NYLON,Nylon,6,0.257,0.86,0.68,0.5,0.74,1600,FICTIONAL_CONTENT
line-0016,Shimara,SUPPLE NYLON,Nylon,8,0.297,0.86,0.68,0.5,0.74,1800,FICTIONAL_CONTENT
line-0017,Shimara,SUPPLE NYLON,Nylon,10,0.332,0.86,0.68,0.5,0.74,2100,FICTIONAL_CONTENT
line-0018,Shimara,SUPPLE NYLON,Nylon,12,0.364,0.86,0.68,0.5,0.74,2300,FICTIONAL_CONTENT
line-0019,Shimara,SUPPLE NYLON,Nylon,15,0.407,0.86,0.68,0.5,0.74,2600,FICTIONAL_CONTENT
