GearID,Brand,Name,LureType,WeightG,LengthMm,DepthRange,RetrieveStyle,VisualProfile,Casting,ActionScore,FinesseAffinity,PowerAffinity,Tags,PriceJPY,Status
lure-0001,Megaburst,Minnow 85 Natural,minnow,5,85,shallow-mid,steady/twitch,natural,64,66,78,47,small-bait|finesse,1500,FICTIONAL_CONTENT
lure-0002,Megaburst,Minnow 85 Flash,minnow,5,85,shallow-mid,steady/twitch,flash,64,66,78,47,small-bait|finesse,1500,FICTIONAL_CONTENT
lure-0003,Megaburst,Minnow 92 Natural,minnow,7,92,shallow-mid,steady/twitch,natural,66,68,75,48,small-bait|finesse,1600,FICTIONAL_CONTENT
lure-0004,Megaburst,Minnow 92 Flash,minnow,7,92,shallow-mid,steady/twitch,flash,66,68,75,48,small-bait|finesse,1600,FICTIONAL_CONTENT
lure-0005,Megaburst,Minnow 99 Natural,minnow,10,99,shallow-mid,steady/twitch,natural,69,70,71,51,allround,1700,FICTIONAL_CONTENT
lure-0006,Megaburst,Minnow 99 Flash,minnow,10,99,shallow-mid,steady/twitch,flash,69,70,71,51,allround,1700,FICTIONAL_CONTENT
lure-0007,Megaburst,Minnow 106 Natural,minnow,14,106,shallow-mid,steady/twitch,natural,73,72,66,55,allround,1900,FICTIONAL_CONTENT
lure-0008,Megaburst,Minnow 106 Flash,minnow,14,106,shallow-mid,steady/twitch,flash,73,72,66,55,allround,1900,FICTIONAL_CONTENT
lure-0009,Megaburst,Minnow 113 Natural,minnow,18,113,shallow-mid,steady/twitch,natural,78,74,61,58,allround,2100,FICTIONAL_CONTENT
lure-0010,Megaburst,Minnow 113 Flash,minnow,18,113,shallow-mid,steady/twitch,flash,78,74,61,58,allround,2100,FICTIONAL_CONTENT
lure-0011,Megaburst,Minnow 120 Natural,minnow,24,120,shallow-mid,steady/twitch,natural,84,76,53,64,allround,2400,FICTIONAL_CONTENT
lure-0012,Megaburst,Minnow 120 Flash,minnow,24,120,shallow-mid,steady/twitch,flash,84,76,53,64,allround,2400,FICTIONAL_CONTENT
lure-0013,Megaburst,Vibration 65 Natural,vibration,7,65,mid-deep,steady/lift-fall,natural,66,66,75,48,small-bait|finesse,1600,FICTIONAL_CONTENT
lure-0014,Megaburst,Vibration 65 Flash,vibration,7,65,mid-deep,steady/lift-fall,flash,66,66,75,48,small-bait|finesse,1600,FICTIONAL_CONTENT
lure-0015,Megaburst,Vibration 72 Natural,vibration,10,72,mid-deep,steady/lift-fall,natural,69,68,71,51,allround,1700,FICTIONAL_CONTENT
lure-0016,Megaburst,Vibration 72 Flash,vibration,10,72,mid-deep,steady/lift-fall,flash,69,68,71,51,allround,1700,FICTIONAL_CONTENT
lure-0017,Megaburst,Vibration 79 Natural,vibration,14,79,mid-deep,steady/lift-fall,natural,73,70,66,55,allround,1900,FICTIONAL_CONTENT
lure-0018,Megaburst,Vibration 79 Flash,vibration,14,79,mid-deep,steady/lift-fall,flash,73,70,66,55,allround,1900,FICTIONAL_CONTENT
lure-0019,Megaburst,Vibration 86 Natural,vibration,18,86,mid-deep,steady/lift-fall,natural,78,72,61,58,allround,2100,FICTIONAL_CONTENT
lure-0020,Megaburst,Vibration 86 Flash,vibration,18,86,mid-deep,steady/lift-fall,flash,78,72,61,58,allround,2100,FICTIONAL_CONTENT
lure-0021,Megaburst,Vibration 93 Natural,vibration,24,93,mid-deep,steady/lift-fall,natural,84,74,53,64,allround,2400,FICTIONAL_CONTENT
lure-0022,Megaburst,Vibration 93 Flash,vibration,24,93,mid-deep,steady/lift-fall,flash,84,74,53,64,allround,2400,FICTIONAL_CONTENT
lure-0023,Megaburst,Vibration 100 Natural,vibration,28,100,mid-deep,steady/lift-fall,natural,89,76,48,67,power|distance,2600,FICTIONAL_CONTENT
lure-0024,Megaburst,Vibration 100 Flash,vibration,28,100,mid-deep,steady/lift-fall,flash,89,76,48,67,power|distance,2600,FICTIONAL_CONTENT
lure-0025,Megaburst,Topwater 95 Natural,topwater,6,95,surface,walk/pop,natural,65,66,76,47,small-bait|finesse,1500,FICTIONAL_CONTENT
lure-0026,Megaburst,Topwater 95 Flash,topwater,6,95,surface,walk/pop,flash,65,66,76,47,small-bait|finesse,1500,FICTIONAL_CONTENT
lure-0027,Megaburst,Topwater 102 Natural,topwater,8,102,surface,walk/pop,natural,67,68,74,49,allround,1600,FICTIONAL_CONTENT
lure-0028,Megaburst,Topwater 102 Flash,topwater,8,102,surface,walk/pop,flash,67,68,74,49,allround,1600,FICTIONAL_CONTENT
lure-0029,Megaburst,Topwater 109 Natural,topwater,12,109,surface,walk/pop,natural,71,70,68,53,allround,1800,FICTIONAL_CONTENT
lure-0030,Megaburst,Topwater 109 Flash,topwater,12,109,surface,walk/pop,flash,71,70,68,53,allround,1800,FICTIONAL_CONTENT
lure-0031,Megaburst,Topwater 116 Natural,topwater,18,116,surface,walk/pop,natural,78,72,61,58,allround,2100,FICTIONAL_CONTENT
lure-0032,Megaburst,Topwater 116 Flash,topwater,18,116,surface,walk/pop,flash,78,72,61,58,allround,2100,FICTIONAL_CONTENT
lure-0033,Megaburst,Topwater 123 Natural,topwater,25,123,surface,walk/pop,natural,86,74,52,65,power|distance,2500,FICTIONAL_CONTENT
lure-0034,Megaburst,Topwater 123 Flash,topwater,25,123,surface,walk/pop,flash,86,74,52,65,power|distance,2500,FICTIONAL_CONTENT
lure-0035,Megaburst,Shad 60 Natural,shad,4,60,shallow-mid,steady,natural,62,66,79,46,small-bait|finesse,1400,FICTIONAL_CONTENT
lure-0036,Megaburst,Shad 60 Flash,shad,4,60,shallow-mid,steady,flash,62,66,79,46,small-bait|finesse,1400,FICTIONAL_CONTENT
