GearID,Brand,Series,Model,UseClass,LengthM,Power,Action,LureMinG,LureMaxG,LineMinKg,LineMaxKg,WeightG,Sensitivity,Control,FightingPower,CastPotential,PriceJPY,PrimaryUse,Status
rod-0001,Shimara,SOLVIA,183ULF,Ajing,1.83,UL,Fast,0.5,5,1.5,4,135,68,70,60,41,17600,軽量ジグ/アジ,FICTIONAL_CONTENT
rod-0002,Shimara,SOLVIA,193ULF,Ajing,1.93,UL,Fast,0.5,5,1.5,4,138,68,70,60,43,16800,軽量ジグ/アジ,FICTIONAL_CONTENT
rod-0003,Shimara,SOLVIA,203ULF,Ajing,2.03,UL,Fast,0.5,5,1.5,4,141,68,70,60,46,16000,軽量ジグ/アジ,FICTIONAL_CONTENT
rod-0004,Shimara,SOLVIA,213ULF,Ajing,2.13,UL,Fast,0.5,5,1.5,4,144,68,70,60,48,16800,軽量ジグ/アジ,FICTIONAL_CONTENT
rod-0005,Shimara,SOLVIA,223ULF,Ajing,2.23,UL,Fast,0.5,5,1.5,4,147,68,70,60,50,17600,軽量ジグ/アジ,FICTIONAL_CONTENT
rod-0006,Shimara,EXSENSEA,209LF,Mebaring,2.09,L,Fast,1,8,2,5,143,68,70,60,47,18500,メバル/ライト,FICTIONAL_CONTENT
rod-0007,Shimara,EXSENSEA,219LF,Mebaring,2.19,L,Fast,1,8,2,5,146,68,70,60,49,17700,メバル/ライト,FICTIONAL_CONTENT
rod-0008,Shimara,EXSENSEA,229LF,Mebaring,2.29,L,Fast,1,8,2,5,148,68,70,60,52,16900,メバル/ライト,FICTIONAL_CONTENT
rod-0009,Shimara,EXSENSEA,239LF,Mebaring,2.39,L,Fast,1,8,2,5,151,68,70,60,54,17700,メバル/ライト,FICTIONAL_CONTENT
rod-0010,Shimara,EXSENSEA,249LF,Mebaring,2.49,L,Fast,1,8,2,5,154,68,70,60,56,18500,メバル/ライト,FICTIONAL_CONTENT
rod-0011,Shimara,SOLVIA,155ULM,Trout Stream,1.55,UL,Moderate,1,7,1.5,4,127,64,70,60,35,19300,渓流,FICTIONAL_CONTENT
rod-0012,Shimara,SOLVIA,165ULM,Trout Stream,1.65,UL,Moderate,1,7,1.5,4,130,64,70,60,37,18500,渓流,FICTIONAL_CONTENT
rod-0013,Shimara,SOLVIA,175ULM,Trout Stream,1.75,UL,Moderate,1,7,1.5,4,133,64,70,60,39,17700,渓流,FICTIONAL_CONTENT
rod-0014,Shimara,SOLVIA,185ULM,Trout Stream,1.85,UL,Moderate,1,7,1.5,4,136,64,70,60,42,18500,渓流,FICTIONAL_CONTENT
rod-0015,Shimara,SOLVIA,195ULM,Trout Stream,1.95,UL,Moderate,1,7,1.5,4,139,64,70,60,44,19300,渓流,FICTIONAL_CONTENT
rod-0016,Shimara,EXSENSEA,193LM,Trout Lake,1.93,L,Moderate,2,12,2,6,138,64,70,60,43,20200,湖トラウト,FICTIONAL_CONTENT
rod-0017,Shimara,EXSENSEA,203LM,Trout Lake,2.03,L,Moderate,2,12,2,6,141,64,70,60,46,19400,湖トラウト,FICTIONAL_CONTENT
rod-0018,Shimara,EXSENSEA,213LM,Trout Lake,2.13,L,Moderate,2,12,2,6,144,64,70,60,48,18600,湖トラウト,FICTIONAL_CONTENT
rod-0019,Shimara,EXSENSEA,223LM,Trout Lake,2.23,L,Moderate,2,12,2,6,147,64,70,60,50,19400,湖トラウト,FICTIONAL_CONTENT
rod-0020,Shimara,EXSENSEA,233LM,Trout Lake,2.33,L,Moderate,2,12,2,6,150,64,70,60,52,20200,湖トラウト,FICTIONAL_CONTENT
rod-0021,Shimara,SOLVIA,188MLF,Bass Finesse,1.88,ML,Fast,2,12,3,8,137,68,70,60,42,21000,バス/フィネス,FICTIONAL_CONTENT
rod-0022,Shimara,SOLVIA,198MLF,Bass Finesse,1.98,ML,Fast,2,12,3,8,139,68,70,60,45,20200,バス/フィネス,FICTIONAL_CONTENT
rod-0023,Shimara,SOLVIA,208MLF,Bass Finesse,2.08,ML,Fast,2,12,3,8,142,68,70,60,47,19400,バス/フィネス,FICTIONAL_CONTENT
rod-0024,Shimara,SOLVIA,218MLF,Bass Finesse,2.18,ML,Fast,2,12,3,8,145,68,70,60,49,20200,バス/フィネス,FICTIONAL_CONTENT
rod-0025,Shimara,SOLVIA,228MLF,Bass Finesse,2.28,ML,Fast,2,12,3,8,148,68,70,60,51,21000,バス/フィネス,FICTIONAL_CONTENT
rod-0026,Shimara,EXSENSEA,193MHF,Bass Power,1.93,MH,Fast,7,28,6,14,148,68,70,65,43,21900,バス/カバー,FICTIONAL_CONTENT
rod-0027,Shimara,EXSENSEA,203MHF,Bass Power,2.03,MH,Fast,7,28,6,14,151,68,70,65,46,21100,バス/カバー,FICTIONAL_CONTENT
